Easting,Northing,AHD Height,img_x,img_y,Filename,EXIF:GPSLatitudeRef,EXIF:GPSLatitude,EXIF:GPSLongitudeRef,EXIF:GPSLongitude,EXIF:GPSAltitudeRef,EXIF:GPSAltitude,XMP:RtkFlag,XMP:DewarpFlag,XMP:AbsoluteAltitude,XMP:RelativeAltitude,XMP:GPSLatitude,XMP:GPSLongtitude,XMP:GimbalRollDegree,XMP:GimbalYawDegree,XMP:GimbalPitchDegree,XMP:FlightRollDegree,XMP:FlightYawDegree,XMP:FlightPitchDegree,XMP:CamReverse,XMP:GimbalReverse,XMP:CalibratedFocalLength,XMP:CalibratedOpticalCenterX,XMP:CalibratedOpticalCenterY,GPSSecondOfWeek,GPSWeekNumber,NorthOff,EastOff,VelOff,Latitude,Longitude,EllipsoideHight,Error,RTKFlag,UTCTime
394589.981,6459629.776,11.899,2098.727273,744.2424242,101_0001_0002.JPG,S,31.99506358,E,115.8836291,0,56.223,50,1,56.22,75.04,-31.99506358,115.8836291,0,55.1,-60,0.8,53.1,8.1,0,0,3666.666504,2736,1824,199434.6351,2249,"    36,N","    47,E","   185,V",-31.99506358,115.8836291,56.224,"0.009176, 0.009257, 0.017237","50,Q",44971.30784
394562.677,6459648.234,12.401,883.5978836,976.7195767,101_0001_0002.JPG,S,31.99506358,E,115.8836291,0,56.223,50,1,56.22,75.04,-31.99506358,115.8836291,0,55.1,-60,0.8,53.1,8.1,0,0,3666.666504,2736,1824,199434.6351,2249,"    36,N","    47,E","   185,V",-31.99506358,115.8836291,56.224,"0.009176, 0.009257, 0.017237","50,Q",44971.30784
394562.677,6459648.234,12.401,1108.739362,1332.180851,101_0001_0002.JPG,S,31.99506358,E,115.8836291,0,56.223,50,1,56.22,75.04,-31.99506358,115.8836291,0,55.1,-60,0.8,53.1,8.1,0,0,3666.666504,2736,1824,199434.6351,2249,"    36,N","    47,E","   185,V",-31.99506358,115.8836291,56.224,"0.009176, 0.009257, 0.017237","50,Q",44971.30784
394571.256,6459639.176,12.185,1360.322034,960.3389831,101_0001_0002.JPG,S,31.99506358,E,115.8836291,0,56.223,50,1,56.22,75.04,-31.99506358,115.8836291,0,55.1,-60,0.8,53.1,8.1,0,0,3666.666504,2736,1824,199434.6351,2249,"    36,N","    47,E","   185,V",-31.99506358,115.8836291,56.224,"0.009176, 0.009257, 0.017237","50,Q",44971.30784
394578.04,6459645.103,12.341,1405.992509,714.9812734,101_0001_0002.JPG,S,31.99506358,E,115.8836291,0,56.223,50,1,56.22,75.04,-31.99506358,115.8836291,0,55.1,-60,0.8,53.1,8.1,0,0,3666.666504,2736,1824,199434.6351,2249,"    36,N","    47,E","   185,V",-31.99506358,115.8836291,56.224,"0.009176, 0.009257, 0.017237","50,Q",44971.30784
394589.981,6459629.776,11.899,2681.456954,1598.337748,101_0001_0021.JPG,S,31.99424328,E,115.8845666,0,56.058,50,1,56.06,74.88,-31.9942433,115.8845666,0,-124.9,-60,4.9,-127.1,-28.4,0,0,3666.666504,2736,1824,199482.1231,2249,"    19,N","    56,E","   185,V",-31.9942433,115.8845666,56.058,"0.015929, 0.011987, 0.029571","50,Q",44971.30839
394562.677,6459648.234,12.401,3916.471963,1285.390187,101_0001_0021.JPG,S,31.99424328,E,115.8845666,0,56.058,50,1,56.06,74.88,-31.9942433,115.8845666,0,-124.9,-60,4.9,-127.1,-28.4,0,0,3666.666504,2736,1824,199482.1231,2249,"    19,N","    56,E","   185,V",-31.9942433,115.8845666,56.058,"0.015929, 0.011987, 0.029571","50,Q",44971.30839
394571.256,6459639.176,12.185,3434.097035,1314.555256,101_0001_0021.JPG,S,31.99424328,E,115.8845666,0,56.058,50,1,56.06,74.88,-31.9942433,115.8845666,0,-124.9,-60,4.9,-127.1,-28.4,0,0,3666.666504,2736,1824,199482.1231,2249,"    19,N","    56,E","   185,V",-31.9942433,115.8845666,56.058,"0.015929, 0.011987, 0.029571","50,Q",44971.30839
394562.677,6459648.234,12.401,3542.027821,952.0525502,101_0001_0021.JPG,S,31.99424328,E,115.8845666,0,56.058,50,1,56.06,74.88,-31.9942433,115.8845666,0,-124.9,-60,4.9,-127.1,-28.4,0,0,3666.666504,2736,1824,199482.1231,2249,"    19,N","    56,E","   185,V",-31.9942433,115.8845666,56.058,"0.015929, 0.011987, 0.029571","50,Q",44971.30839
394578.04,6459645.103,12.341,3483.6,1610.5,101_0001_0021.JPG,S,31.99424328,E,115.8845666,0,56.058,50,1,56.06,74.88,-31.9942433,115.8845666,0,-124.9,-60,4.9,-127.1,-28.4,0,0,3666.666504,2736,1824,199482.1231,2249,"    19,N","    56,E","   185,V",-31.9942433,115.8845666,56.058,"0.015929, 0.011987, 0.029571","50,Q",44971.30839
394589.981,6459629.776,11.899,1656.478405,395.4595792,101_0001_0068.JPG,S,31.99401558,E,115.8832989,0,56.266,50,1,56.27,75.07,-31.99401559,115.8832989,0,145.2,-60,14,142.9,-9.4,0,0,3666.666504,2736,1824,199599.628,2249,"    25,N","    37,E","   189,V",-31.99401559,115.8832989,56.266,"0.015479, 0.011883, 0.029452","50,Q",44971.30975
394562.677,6459648.234,12.401,1882.239718,1186.839013,101_0001_0068.JPG,S,31.99401558,E,115.8832989,0,56.266,50,1,56.27,75.07,-31.99401559,115.8832989,0,145.2,-60,14,142.9,-9.4,0,0,3666.666504,2736,1824,199599.628,2249,"    25,N","    37,E","   189,V",-31.99401559,115.8832989,56.266,"0.015479, 0.011883, 0.029452","50,Q",44971.30975
394571.256,6459639.176,12.185,1886.540601,842.3537264,101_0001_0068.JPG,S,31.99401558,E,115.8832989,0,56.266,50,1,56.27,75.07,-31.99401559,115.8832989,0,145.2,-60,14,142.9,-9.4,0,0,3666.666504,2736,1824,199599.628,2249,"    25,N","    37,E","   189,V",-31.99401559,115.8832989,56.266,"0.015479, 0.011883, 0.029452","50,Q",44971.30975
394562.677,6459648.234,12.401,2330.690265,946.5031606,101_0001_0068.JPG,S,31.99401558,E,115.8832989,0,56.266,50,1,56.27,75.07,-31.99401559,115.8832989,0,145.2,-60,14,142.9,-9.4,0,0,3666.666504,2736,1824,199599.628,2249,"    25,N","    37,E","   189,V",-31.99401559,115.8832989,56.266,"0.015479, 0.011883, 0.029452","50,Q",44971.30975
394578.04,6459645.103,12.341,1558.138728,856.0693642,101_0001_0068.JPG,S,31.99401558,E,115.8832989,0,56.266,50,1,56.27,75.07,-31.99401559,115.8832989,0,145.2,-60,14,142.9,-9.4,0,0,3666.666504,2736,1824,199599.628,2249,"    25,N","    37,E","   189,V",-31.99401559,115.8832989,56.266,"0.015479, 0.011883, 0.029452","50,Q",44971.30975
394589.981,6459629.776,11.899,3152.82392,1202.104097,101_0001_0099.JPG,S,31.99400303,E,115.8838763,0,56.211,50,1,56.21,75.03,-31.99400305,115.8838763,0,145,-60,11.3,143.1,-6.9,0,0,3666.666504,2736,1824,199677.1275,2249,"     9,N","    38,E","   191,V",-31.99400305,115.8838763,56.211,"0.012896, 0.013017, 0.024929","50,Q",44971.31065
394562.677,6459648.234,12.401,3725.601132,2310.749646,101_0001_0099.JPG,S,31.99400303,E,115.8838763,0,56.211,50,1,56.21,75.03,-31.99400305,115.8838763,0,145,-60,11.3,143.1,-6.9,0,0,3666.666504,2736,1824,199677.1275,2249,"     9,N","    38,E","   191,V",-31.99400305,115.8838763,56.211,"0.012896, 0.013017, 0.024929","50,Q",44971.31065
394571.256,6459639.176,12.185,3593.80446,1821.770154,101_0001_0099.JPG,S,31.99400303,E,115.8838763,0,56.211,50,1,56.21,75.03,-31.99400305,115.8838763,0,145,-60,11.3,143.1,-6.9,0,0,3666.666504,2736,1824,199677.1275,2249,"     9,N","    38,E","   191,V",-31.99400305,115.8838763,56.211,"0.012896, 0.013017, 0.024929","50,Q",44971.31065
394562.677,6459648.234,12.401,4153.271028,1965.576324,101_0001_0099.JPG,S,31.99400303,E,115.8838763,0,56.211,50,1,56.21,75.03,-31.99400305,115.8838763,0,145,-60,11.3,143.1,-6.9,0,0,3666.666504,2736,1824,199677.1275,2249,"     9,N","    38,E","   191,V",-31.99400305,115.8838763,56.211,"0.012896, 0.013017, 0.024929","50,Q",44971.31065
394578.04,6459645.103,12.341,3214.4,1841.1,101_0001_0099.JPG,S,31.99400303,E,115.8838763,0,56.211,50,1,56.21,75.03,-31.99400305,115.8838763,0,145,-60,11.3,143.1,-6.9,0,0,3666.666504,2736,1824,199677.1275,2249,"     9,N","    38,E","   191,V",-31.99400305,115.8838763,56.211,"0.012896, 0.013017, 0.024929","50,Q",44971.31065
394589.981,6459629.776,11.899,1435.522673,1709.307876,101_0001_0113.JPG,S,31.99463928,E,115.8847102,0,56.226,50,1,56.23,75.06,-31.99463929,115.8847102,0,-38.1,-60,-13.5,-35.1,-9.6,0,0,3666.666504,2736,1824,199712.1279,2249,"    28,N","    34,E","   189,V",-31.99463929,115.8847102,56.227,"0.017349, 0.017512, 0.037674","50,Q",44971.31105
394562.677,6459648.234,12.401,1328.980322,711.2701252,101_0001_0113.JPG,S,31.99463928,E,115.8847102,0,56.226,50,1,56.23,75.06,-31.99463929,115.8847102,0,-38.1,-60,-13.5,-35.1,-9.6,0,0,3666.666504,2736,1824,199712.1279,2249,"    28,N","    34,E","   189,V",-31.99463929,115.8847102,56.227,"0.017349, 0.017512, 0.037674","50,Q",44971.31105
394571.256,6459639.176,12.185,1260.286225,1063.864043,101_0001_0113.JPG,S,31.99463928,E,115.8847102,0,56.226,50,1,56.23,75.06,-31.99463929,115.8847102,0,-38.1,-60,-13.5,-35.1,-9.6,0,0,3666.666504,2736,1824,199712.1279,2249,"    28,N","    34,E","   189,V",-31.99463929,115.8847102,56.227,"0.017349, 0.017512, 0.037674","50,Q",44971.31105
394562.677,6459648.234,12.401,837.5854214,929.2710706,101_0001_0113.JPG,S,31.99463928,E,115.8847102,0,56.226,50,1,56.23,75.06,-31.99463929,115.8847102,0,-38.1,-60,-13.5,-35.1,-9.6,0,0,3666.666504,2736,1824,199712.1279,2249,"    28,N","    34,E","   189,V",-31.99463929,115.8847102,56.227,"0.017349, 0.017512, 0.037674","50,Q",44971.31105
394578.04,6459645.103,12.341,1603.302961,1064.236902,101_0001_0113.JPG,S,31.99463928,E,115.8847102,0,56.226,50,1,56.23,75.06,-31.99463929,115.8847102,0,-38.1,-60,-13.5,-35.1,-9.6,0,0,3666.666504,2736,1824,199712.1279,2249,"    28,N","    34,E","   189,V",-31.99463929,115.8847102,56.227,"0.017349, 0.017512, 0.037674","50,Q",44971.31105
